Simple Production Data Report
Start date:,2/21/2025 12:00:00 AM
End date:,3/20/2025 12:00:00 AM

Timestamp,University of San Diego - Alcala Borrego,University of San Diego - Alcala Laguna,University of San Diego - Camino Hall,University of San Diego - Copley Library,University of San Diego - Founders Hall,University of San Diego - Jenny Craig Pavillion,University of San Diego - Kroc,University of San Diego - Manchester A,University of San Diego - Manchester B,University of San Diego - Soles,University of San Diego - West Parking
,Production meter net energy,Production meter net energy,Production meter net energy,Production meter net energy,Production meter net energy,Production meter net energy,Production meter net energy,Production meter net energy,Production meter net energy,Production meter net energy,Production meter net energy
,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh
2/25/2025 1:00:00 AM,0.0380859375009095,0.03125,0,0,0,0,0.25,0,0,0,0.25
2/25/2025 2:00:00 AM,0.0371223953934532,0,0,0.03125,0,0,0,0,0,0.125,0
2/25/2025 3:00:00 AM,0.0385742408179794,0,0,0.03125,0,0,0,0.125,0,0.125,0.25
2/25/2025 4:00:00 AM,0.0380924916098593,0.0625,0,0.03125,0,0,0.25,0,0,0.125,0
2/25/2025 5:00:00 AM,0.0380601536708127,0.03125,0,0.03125,0,0,0,0,0,0,0.25
2/25/2025 6:00:00 AM,0.0376112937792641,0,0.375,0,0.75,0,0.748338870238513,0.125,0,0,0.75
2/25/2025 7:00:00 AM,1.40773106585402,1.74669407895999,8.125,4.8572761194082,20.75,0,14.0016611297615,5.75,0,11.9936151190195,18.744583333144
2/25/2025 8:00:00 AM,6.06343906510756,6.93955592100974,26.25,24.2633268956561,79.5,0,9.75,19.25,0,40.5002737699542,53.2441666668747
2/25/2025 9:00:00 AM,10.6393869241056,12.374375000014,37.75,33.0468969849171,117.03125,0,0,30,0,61.6311111110263,82.2612499999814
2/25/2025 10:00:00 AM,13.9531822723839,15.3746875000652,44.375,38.9385937500047,138.71875,0,0,37.5,0,75.0497032550629,103.482142857276
2/25/2025 11:00:00 AM,16.143803819793,17.0934374999488,47.5,42.5370312500163,151,0,0.25,42.125,0,70.9391979658976,116.873273809208
2/25/2025 12:00:00 PM,16.3750514950261,17.3127083333675,47.625,42.4317187499837,150.6875,0,0,43.625,0,73.1360987790395,119.986710963422
2/25/2025 1:00:00 PM,15.5458616015421,16.1877083333093,43.75,38.6551562499953,137.75,0,0,41.125,0,86.2405555555597,112.032872370095
2/25/2025 2:00:00 PM,13.9740949649877,13.2819791666116,36.25,32.132717661676,113.90625,0,0.25,35.5,0,71.7594444444403,94.6108333331067
2/25/2025 3:00:00 PM,9.72963426264687,7.78218750003725,22.25,21.5882873634691,72.71875,0,0,25.75,0,41.089644425083,66.8741846622434
2/25/2025 4:00:00 PM,1.52312732802966,2.18791666667676,7.25,6.49643815669697,23.90625,0,0,11.5,0,14.660355574917,31.1399820046499
2/25/2025 5:00:00 PM,0.0514245636913984,0.09375,0.625,0.333806818176527,0.875,0,0.25,1,0,1.375,2.5
